step,episode,episode_return,episode_len,epsilon,success
21760,339,-0.6400,64,0.8622,0
21824,340,-0.6400,64,0.8618,0
21888,341,-0.6400,64,0.8614,0
21952,342,-0.6400,64,0.8610,0
22016,343,-0.6400,64,0.8606,0
22080,344,-0.6400,64,0.8602,0
22144,345,-0.6400,64,0.8598,0
22208,346,-0.6400,64,0.8593,0
22272,347,-0.6400,64,0.8589,0
22336,348,-0.6400,64,0.8585,0
22400,349,-0.6400,64,0.8581,0
22464,350,-0.6400,64,0.8577,0
22528,351,-0.6400,64,0.8573,0
22592,352,-0.6400,64,0.8569,0
22656,353,-0.6400,64,0.8565,0
22720,354,-0.6400,64,0.8561,0
22784,355,-0.6400,64,0.8557,0
22848,356,-0.6400,64,0.8553,0
22912,357,-0.6400,64,0.8549,0
22976,358,-0.6400,64,0.8545,0
23040,359,-0.6400,64,0.8541,0
23104,360,-0.6400,64,0.8537,0
23168,361,-0.6400,64,0.8533,0
23232,362,-0.6400,64,0.8529,0
23296,363,-0.6400,64,0.8525,0
23360,364,-0.6400,64,0.8521,0
23424,365,-0.6400,64,0.8516,0
23488,366,-0.6400,64,0.8512,0
23552,367,-0.6400,64,0.8508,0
23616,368,-0.6400,64,0.8504,0
23680,369,-0.6400,64,0.8500,0
23744,370,-0.6400,64,0.8496,0
23808,371,-0.6400,64,0.8492,0
23872,372,-0.6400,64,0.8488,0
23936,373,-0.6400,64,0.8484,0
24000,374,-0.6400,64,0.8480,0
24064,375,-0.6400,64,0.8476,0
24128,376,-0.6400,64,0.8472,0
24192,377,-0.6400,64,0.8468,0
24256,378,-0.6400,64,0.8464,0
24320,379,-0.6400,64,0.8460,0
24384,380,-0.6400,64,0.8456,0
24448,381,-0.6400,64,0.8452,0
24512,382,-0.6400,64,0.8448,0
24576,383,-0.6400,64,0.8444,0
24640,384,-0.6400,64,0.8439,0
24704,385,-0.6400,64,0.8435,0
24768,386,-0.6400,64,0.8431,0
24832,387,-0.6400,64,0.8427,0
24896,388,-0.6400,64,0.8423,0
24960,389,-0.6400,64,0.8419,0
25024,390,-0.6400,64,0.8415,0
25088,391,-0.6400,64,0.8411,0
25152,392,-0.6400,64,0.8407,0
25216,393,-0.6400,64,0.8403,0
25280,394,-0.6400,64,0.8399,0
25344,395,-0.6400,64,0.8395,0
25408,396,-0.6400,64,0.8391,0
25472,397,-0.6400,64,0.8387,0
25536,398,-0.6400,64,0.8383,0
25600,399,-0.6400,64,0.8379,0
25664,400,-0.6400,64,0.8375,0
25728,401,-0.6400,64,0.8371,0
25792,402,-0.6400,64,0.8367,0
25856,403,-0.6400,64,0.8362,0
25920,404,-0.6400,64,0.8358,0
25984,405,-0.6400,64,0.8354,0
26048,406,-0.6400,64,0.8350,0
26112,407,-0.6400,64,0.8346,0
26176,408,-0.6400,64,0.8342,0
26240,409,-0.6400,64,0.8338,0
26304,410,-0.6400,64,0.8334,0
26368,411,-0.6400,64,0.8330,0
26432,412,-0.6400,64,0.8326,0
26496,413,-0.6400,64,0.8322,0
26560,414,-0.6400,64,0.8318,0
26624,415,-0.6400,64,0.8314,0
26688,416,-0.6400,64,0.8310,0
26752,417,-0.6400,64,0.8306,0
26816,418,-0.6400,64,0.8302,0
26880,419,-0.6400,64,0.8298,0
26944,420,-0.6400,64,0.8294,0
27008,421,-0.6400,64,0.8289,0
27072,422,-0.6400,64,0.8285,0
27136,423,-0.6400,64,0.8281,0
27200,424,-0.6400,64,0.8277,0
27264,425,-0.6400,64,0.8273,0
27328,426,-0.6400,64,0.8269,0
27392,427,-0.6400,64,0.8265,0
27456,428,-0.6400,64,0.8261,0
27520,429,-0.6400,64,0.8257,0
27584,430,-0.6400,64,0.8253,0
27648,431,-0.6400,64,0.8249,0
27712,432,-0.6400,64,0.8245,0
27776,433,-0.6400,64,0.8241,0
27840,434,-0.6400,64,0.8237,0
27904,435,-0.6400,64,0.8233,0
27968,436,-0.6400,64,0.8229,0
28032,437,-0.6400,64,0.8225,0
28096,438,-0.6400,64,0.8221,0
28160,439,-0.6400,64,0.8217,0
28224,440,-0.6400,64,0.8212,0
28288,441,-0.6400,64,0.8208,0
28352,442,-0.6400,64,0.8204,0
28416,443,-0.6400,64,0.8200,0
28480,444,-0.6400,64,0.8196,0
28544,445,-0.6400,64,0.8192,0
28608,446,-0.6400,64,0.8188,0
28672,447,-0.6400,64,0.8184,0
28736,448,-0.6400,64,0.8180,0
28800,449,-0.6400,64,0.8176,0
28864,450,-0.6400,64,0.8172,0
28928,451,-0.6400,64,0.8168,0
28992,452,-0.6400,64,0.8164,0
29056,453,-0.6400,64,0.8160,0
29120,454,-0.6400,64,0.8156,0
29184,455,-0.6400,64,0.8152,0
29248,456,-0.6400,64,0.8148,0
29312,457,-0.6400,64,0.8144,0
29376,458,-0.6400,64,0.8140,0
29440,459,-0.6400,64,0.8135,0
29504,460,-0.6400,64,0.8131,0
29568,461,-0.6400,64,0.8127,0
29632,462,-0.6400,64,0.8123,0
29696,463,-0.6400,64,0.8119,0
29760,464,-0.6400,64,0.8115,0
29824,465,-0.6400,64,0.8111,0
29888,466,-0.6400,64,0.8107,0
29952,467,-0.6400,64,0.8103,0
30016,468,-0.6400,64,0.8099,0
30080,469,-0.6400,64,0.8095,0
30144,470,-0.6400,64,0.8091,0
30208,471,-0.6400,64,0.8087,0
30272,472,-0.6400,64,0.8083,0
30336,473,-0.6400,64,0.8079,0
30400,474,-0.6400,64,0.8075,0
30464,475,-0.6400,64,0.8071,0
30528,476,-0.6400,64,0.8067,0
30592,477,-0.6400,64,0.8063,0
30656,478,-0.6400,64,0.8058,0
30720,479,-0.6400,64,0.8054,0
30784,480,-0.6400,64,0.8050,0
30848,481,-0.6400,64,0.8046,0
30912,482,-0.6400,64,0.8042,0
30976,483,-0.6400,64,0.8038,0
31040,484,-0.6400,64,0.8034,0
31104,485,-0.6400,64,0.8030,0
31168,486,-0.6400,64,0.8026,0
31232,487,-0.6400,64,0.8022,0
31296,488,-0.6400,64,0.8018,0
31360,489,-0.6400,64,0.8014,0
31424,490,-0.6400,64,0.8010,0
31488,491,-0.6400,64,0.8006,0
31552,492,-0.6400,64,0.8002,0
31616,493,-0.6400,64,0.7998,0
31680,494,-0.6400,64,0.7994,0
31744,495,-0.6400,64,0.7990,0
31808,496,-0.6400,64,0.7985,0
31872,497,-0.6400,64,0.7981,0
31936,498,-0.6400,64,0.7977,0
31994,499,0.4300,58,0.7974,1
32058,500,-0.6400,64,0.7970,0
32102,501,0.5700,44,0.7967,1
32166,502,-0.6400,64,0.7963,0
32230,503,-0.6400,64,0.7959,0
32294,504,-0.6400,64,0.7955,0
32358,505,-0.6400,64,0.7951,0
32412,506,0.4700,54,0.7947,1
32476,507,-0.6400,64,0.7943,0
32540,508,-0.6400,64,0.7939,0
32604,509,-0.6400,64,0.7935,0
32668,510,-0.6400,64,0.7931,0
32732,511,-0.6400,64,0.7927,0
32796,512,-0.6400,64,0.7923,0
32860,513,-0.6400,64,0.7919,0
32924,514,-0.6400,64,0.7915,0
32988,515,-0.6400,64,0.7911,0
33052,516,-0.6400,64,0.7907,0
33116,517,-0.6400,64,0.7903,0
33180,518,-0.6400,64,0.7899,0
33216,519,0.6500,36,0.7896,1
33280,520,-0.6400,64,0.7892,0
33344,521,-0.6400,64,0.7888,0
33408,522,-0.6400,64,0.7884,0
33472,523,-0.6400,64,0.7880,0
33536,524,-0.6400,64,0.7876,0
33600,525,-0.6400,64,0.7872,0
33664,526,-0.6400,64,0.7868,0
33726,527,0.3900,62,0.7864,1
33790,528,-0.6400,64,0.7860,0
33854,529,-0.6400,64,0.7856,0
33918,530,-0.6400,64,0.7852,0
33982,531,-0.6400,64,0.7848,0
34046,532,-0.6400,64,0.7844,0
34110,533,-0.6400,64,0.7840,0
34174,534,-0.6400,64,0.7836,0
34236,535,0.3900,62,0.7832,1
34299,536,0.3800,63,0.7828,1
34363,537,-0.6400,64,0.7824,0
34427,538,-0.6400,64,0.7820,0
34491,539,-0.6400,64,0.7816,0
34555,540,-0.6400,64,0.7812,0
34619,541,-0.6400,64,0.7807,0
34683,542,-0.6400,64,0.7803,0
34747,543,-0.6400,64,0.7799,0
34811,544,-0.6400,64,0.7795,0
34875,545,-0.6400,64,0.7791,0
34939,546,-0.6400,64,0.7787,0
35003,547,-0.6400,64,0.7783,0
35038,548,0.6600,35,0.7781,1
35102,549,-0.6400,64,0.7777,0
35166,550,-0.6400,64,0.7773,0
35230,551,-0.6400,64,0.7769,0
35294,552,-0.6400,64,0.7765,0
35358,553,-0.6400,64,0.7761,0
35422,554,-0.6400,64,0.7757,0
35475,555,0.4800,53,0.7753,1
35520,556,0.5600,45,0.7750,1
35584,557,-0.6400,64,0.7746,0
35648,558,-0.6400,64,0.7742,0
